x,y,z,Ni,Nj,Nk
20.0,0.0,100.0,-1.0,-0.0,0.0
19.8380087052,2.54035639494,100.002027027,-0.991900435259,-0.127017819747,0.0
19.3546589387,5.0395612277,100.004054054,-0.967732946933,-0.251978061385,0.0
18.5577805459,7.45712955561,100.006081081,-0.927889027297,-0.37285647778,0.0
17.4602822632,9.75389887627,100.008108108,-0.873014113161,-0.487694943814,0.0
16.0799426073,11.8926635261,100.010135135,-0.803997130367,-0.594633176304,0.0
14.4391218791,13.8387773796,100.012162162,-0.721956093955,-0.691938868978,0.0
12.5643999459,15.5607150864,100.014189189,-0.628219997296,-0.778035754318,0.0
10.4861456711,17.0305827547,100.016216216,-0.524307283557,-0.851529137733,0.0
8.23802496488,18.2245698078,100.018243243,-0.411901248244,-0.911228490388,0.0
5.85645542553,19.1233346948,100.02027027,-0.292822771277,-0.956166734739,0.0
3.38001640644,19.712318207,100.022297297,-0.169000820322,-0.985615910348,0.0
0.848824063923,19.9819793241,100.024324324,-0.0424412031961,-0.999098966205,0.0
-1.69611848951,19.9279497709,100.026351351,0.0848059244755,-0.996397488543,0.0
-4.21358539991,19.551104779,100.028378378,0.210679269996,-0.977555238948,0.0
-6.66279589484,18.8575489092,100.030405405,0.333139794742,-0.942877445461,0.0
-9.00407489635,17.858517163,100.032432432,0.450203744818,-0.89292585815,0.0
-11.1994957228,16.5701929849,100.034459459,0.559974786138,-0.828509649244,0.0
-13.2134944678,15.0134461051,100.036486486,0.66067472339,-0.750672305253,0.0
-15.0134461051,13.2134944678,100.038513514,0.750672305253,-0.66067472339,0.0
-16.5701929849,11.1994957228,100.040540541,0.828509649244,-0.559974786138,0.0
-17.858517163,9.00407489635,100.042567568,0.89292585815,-0.450203744818,0.0
-18.8575489092,6.66279589484,100.044594595,0.942877445461,-0.333139794742,0.0
-19.551104779,4.21358539991,100.046621622,0.977555238948,-0.210679269996,0.0
-19.9279497709,1.69611848951,100.048648649,0.996397488543,-0.0848059244755,0.0
-19.9819793241,-0.848824063923,100.050675676,0.999098966205,0.0424412031961,0.0
-19.712318207,-3.38001640644,100.052702703,0.985615910348,0.169000820322,0.0
-19.1233346948,-5.85645542553,100.05472973,0.956166734739,0.292822771277,0.0
-18.2245698078,-8.23802496488,100.056756757,0.911228490388,0.411901248244,0.0
-17.0305827547,-10.4861456711,100.058783784,0.851529137733,0.524307283557,0.0
-15.5607150864,-12.5643999459,100.060810811,0.778035754318,0.628219997296,0.0
-13.8387773796,-14.4391218791,100.062837838,0.691938868978,0.721956093955,0.0
-11.8926635261,-16.0799426073,100.064864865,0.594633176304,0.803997130367,0.0
-9.75389887627,-17.4602822632,100.066891892,0.487694943814,0.873014113161,0.0
-7.45712955561,-18.5577805459,100.068918919,0.37285647778,0.927889027297,0.0
-5.0395612277,-19.3546589387,100.070945946,0.251978061385,0.967732946933,0.0
-2.54035639494,-19.8380087052,100.072972973,0.127017819747,0.991900435259,0.0
-2.14375087914e-14,-20.0,100.075,1.07187543957e-15,1.0,0.0
2.54035639494,-19.8380087052,100.077027027,-0.127017819747,0.991900435259,0.0
5.0395612277,-19.3546589387,100.079054054,-0.251978061385,0.967732946933,0.0
7.45712955561,-18.5577805459,100.081081081,-0.37285647778,0.927889027297,0.0
9.75389887627,-17.4602822632,100.083108108,-0.487694943814,0.873014113161,0.0
11.8926635261,-16.0799426073,100.085135135,-0.594633176304,0.803997130367,0.0
13.8387773796,-14.4391218791,100.087162162,-0.691938868978,0.721956093955,0.0
15.5607150864,-12.5643999459,100.089189189,-0.778035754318,0.628219997296,0.0
17.0305827547,-10.4861456711,100.091216216,-0.851529137733,0.524307283557,0.0
18.2245698078,-8.23802496488,100.093243243,-0.911228490388,0.411901248244,0.0
19.1233346948,-5.85645542553,100.09527027,-0.956166734739,0.292822771277,0.0
19.712318207,-3.38001640644,100.097297297,-0.985615910348,0.169000820322,0.0
19.9819793241,-0.848824063923,100.099324324,-0.999098966205,0.0424412031961,0.0
19.9279497709,1.69611848951,100.101351351,-0.996397488543,-0.0848059244755,0.0
19.551104779,4.21358539991,100.103378378,-0.977555238948,-0.210679269996,0.0
18.8575489092,6.66279589484,100.105405405,-0.942877445461,-0.333139794742,0.0
17.858517163,9.00407489635,100.107432432,-0.89292585815,-0.450203744818,0.0
16.5701929849,11.1994957228,100.109459459,-0.828509649244,-0.559974786138,0.0
15.0134461051,13.2134944678,100.111486486,-0.750672305253,-0.66067472339,0.0
13.2134944678,15.0134461051,100.113513514,-0.66067472339,-0.750672305253,0.0
11.1994957228,16.5701929849,100.115540541,-0.559974786138,-0.828509649244,0.0
9.00407489635,17.858517163,100.117567568,-0.450203744818,-0.89292585815,0.0
6.66279589484,18.8575489092,100.119594595,-0.333139794742,-0.942877445461,0.0
4.21358539991,19.551104779,100.121621622,-0.210679269996,-0.977555238948,0.0
1.69611848951,19.9279497709,100.123648649,-0.0848059244755,-0.996397488543,0.0
-0.848824063923,19.9819793241,100.125675676,0.0424412031961,-0.999098966205,0.0
-3.38001640644,19.712318207,100.127702703,0.169000820322,-0.985615910348,0.0
-5.85645542553,19.1233346948,100.12972973,0.292822771277,-0.956166734739,0.0
-8.23802496488,18.2245698078,100.131756757,0.411901248244,-0.911228490388,0.0
-10.4861456711,17.0305827547,100.133783784,0.524307283557,-0.851529137733,0.0
-12.5643999459,15.5607150864,100.135810811,0.628219997296,-0.778035754318,0.0
-14.4391218791,13.8387773796,100.137837838,0.721956093955,-0.691938868978,0.0
-16.0799426073,11.8926635261,100.139864865,0.803997130367,-0.594633176304,0.0
-17.4602822632,9.75389887627,100.141891892,0.873014113161,-0.487694943814,0.0
-18.5577805459,7.45712955561,100.143918919,0.927889027297,-0.37285647778,0.0
-19.3546589387,5.0395612277,100.145945946,0.967732946933,-0.251978061385,0.0
-19.8380087052,2.54035639494,100.147972973,0.991900435259,-0.127017819747,0.0
-20.0,4.28750175829e-14,100.15,1.0,-2.14375087914e-15,0.0
-19.8380087052,-2.54035639494,100.152027027,0.991900435259,0.127017819747,0.0
-19.3546589387,-5.0395612277,100.154054054,0.967732946933,0.251978061385,0.0
-18.5577805459,-7.45712955561,100.156081081,0.927889027297,0.37285647778,0.0
-17.4602822632,-9.75389887627,100.158108108,0.873014113161,0.487694943814,0.0
-16.0799426073,-11.8926635261,100.160135135,0.803997130367,0.594633176304,0.0
-14.4391218791,-13.8387773796,100.162162162,0.721956093955,0.691938868978,0.0
-12.5643999459,-15.5607150864,100.164189189,0.628219997296,0.778035754318,0.0
-10.4861456711,-17.0305827547,100.166216216,0.524307283557,0.851529137733,0.0
-8.23802496488,-18.2245698078,100.168243243,0.411901248244,0.911228490388,0.0
-5.85645542553,-19.1233346948,100.17027027,0.292822771277,0.956166734739,0.0
-3.38001640644,-19.712318207,100.172297297,0.169000820322,0.985615910348,0.0
-0.848824063923,-19.9819793241,100.174324324,0.0424412031962,0.999098966205,0.0
1.69611848951,-19.9279497709,100.176351351,-0.0848059244755,0.996397488543,0.0
4.21358539991,-19.551104779,100.178378378,-0.210679269996,0.977555238948,0.0
6.66279589484,-18.8575489092,100.180405405,-0.333139794742,0.942877445461,0.0
9.00407489635,-17.858517163,100.182432432,-0.450203744818,0.89292585815,0.0
11.1994957228,-16.5701929849,100.184459459,-0.559974786138,0.828509649244,0.0
13.2134944678,-15.0134461051,100.186486486,-0.66067472339,0.750672305253,0.0
15.0134461051,-13.2134944678,100.188513514,-0.750672305253,0.66067472339,0.0
16.5701929849,-11.1994957228,100.190540541,-0.828509649244,0.559974786138,0.0
